"filename", "language", "JavaScript", "HTTP", "JSON", "HTML", "XML", "JavaScript JSX", "CSS", "YAML", "comment", "blank", "total"
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\images\icon-01.svg", "XML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 20
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\images\icon-02.svg", "XML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 20
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\images\icon-03.svg", "XML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 20
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\pages\NavbarLogin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 0, 3, 38
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\pages\NavbarRecovery.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 3, 41
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\Banner.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 4, 32
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 47, 0, 0, 38, 6, 91
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\HeaderPersonal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 66, 0, 0, 6, 6, 78
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\Sidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1497, 0, 0, 60, 14, 1571
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\SidebarAdmin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 241, 0, 0, 35, 13, 289
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\SidebarDoctor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1502, 0, 0, 60, 14, 1576
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\SidebarLinkGroup.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 5, 21
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\SidebarPersonal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 246, 0, 0, 35, 14, 295
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\dashboard\DashboardAvatars.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 0, 3, 44
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\dashboard\DashboardCard01.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 104, 0, 0, 7, 6, 117
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\dashboard\DashboardCard02.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 97, 0, 0, 7, 6, 110
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\dashboard\DashboardCard03.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 97, 0, 0, 7, 6, 110
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\dashboard\DashboardCard04.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 5, 6, 53
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\dashboard\DashboardCard05.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 76, 0, 0, 14, 14, 104
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\dashboard\DashboardCard06.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 3, 6, 45
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\dashboard\DashboardCard07.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 171, 0, 0, 8, 3, 182
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\dashboard\DashboardCard08.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 91, 0, 0, 6, 6, 103
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\dashboard\DashboardCard09.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 5, 6, 65
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\dashboard\DashboardCard10.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 107, 0, 0, 3, 9, 119
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\dashboard\DashboardCard11.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 67, 0, 0, 3, 6, 76
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\dashboard\DashboardCard12.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 155, 0, 0, 8, 3, 166
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\dashboard\DashboardCard13.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 138, 0, 0, 8, 3, 149
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\dashboard\WelcomeBanner.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 63, 0, 0, 2, 6, 71
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\dashboard\WelcomeBannerDoctor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 63, 0, 0, 2, 6, 71
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\dashboard\WelcomeBannerPersonal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 107, 0, 0, 4, 6, 117
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\header\DropdownHelp.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 101, 0, 0, 2, 8, 111
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\header\DropdownNotifications.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 96, 0, 0, 2, 8, 106
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\header\DropdownProfile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 100, 0, 0, 4, 9, 113
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\header\DropdownProfilePersonal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 90, 0, 0, 2, 9, 101
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\header\ModalSearch.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 228, 0, 0, 7, 8, 243
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\partials\header\ThemeToggle.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 0, 3, 43
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\utils\Info.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 45, 0, 0, 0, 4, 49
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\utils\ThemeContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 0, 8, 37
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\utils\Transition.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 105, 0, 0, 0, 11, 116
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\layouts\utils\Utils.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 1, 4, 30
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\middleware\AuthRol.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 4, 14
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\routes\AdminRoutes.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 22, 0, 0, 7, 3, 32
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\routes\DoctorRoutes.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 3, 31
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\routes\NotFoundRoutes.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\routes\PersonalRoutes.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 33, 0, 0, 14, 3, 50
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\routes\ProtectedRoutes.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\routes\RecoveryRoutes.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 20
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\routes\SitioRoutes.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 10, 2, 19
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\routes\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 0, 2, 39
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\services\api.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 8, 7, 56
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\services\authService.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\services\citaService.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 10, 38
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\services\doctorService.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\services\historiaService.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 18, 5, 33
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\services\laboratoristaService.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\services\pacienteService.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\services\personalService.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\services\profileService.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\views\ChangePassword.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 47, 0, 0, 0, 7, 54
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\views\HistoriaComponents\AntecedenteF.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 89, 0, 0, 0, 6, 95
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\views\HistoriaComponents\AntecedentesP.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 364, 0, 0, 0, 3, 367
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\views\HistoriaComponents\Cita.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 62, 0, 0, 0, 3, 65
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\views\HistoriaComponents\ComposicionF.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 3, 26
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\views\HistoriaComponents\ExploracionF.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 3, 26
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\views\HistoriaComponents\Historia.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 90, 0, 0, 2, 5, 97
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\views\HistoriaComponents\HistoriaForms\HistoriaForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 75, 0, 0, 6, 6, 87
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\views\HistoriaComponents\Laboratorio.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 0, 3, 26
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\views\HistoriaComponents\Pacientes.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 65, 0, 0, 0, 4, 69
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\views\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 35, 0, 0, 0, 3, 38
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\views\LoginComponents\FormChangePass.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 212, 0, 0, 0, 3, 215
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\views\LoginComponents\FormLogin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 172, 0, 0, 2, 9, 183
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\views\LoginComponents\FormRecovery.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 148, 0, 0, 0, 3, 151
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\views\NotFound.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 132, 0, 0, 0, 3, 135
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\views\Recovery.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 0, 4, 40
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\views\admin\Doctores.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 308, 0, 0, 4, 5, 317
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\views\admin\Laboratorista.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 305, 0, 0, 4, 5, 314
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\views\admin\Personal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 303, 0, 0, 4, 5, 312
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\views\admin\formAddUser.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 731, 0, 0, 4, 9, 744
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\views\doctor\Citas.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 164, 0, 0, 5, 7, 176
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\views\doctor\PacienteVista.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 94, 0, 0, 4, 8, 106
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\views\personal\AddCita.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 256, 0, 0, 10, 10, 276
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\views\personal\Citas.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 165, 0, 0, 5, 7, 177
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\views\personal\EditCita.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 265, 0, 0, 7, 13, 285
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\views\personal\FormAddPaciente.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 530, 0, 0, 4, 6, 540
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\src\views\personal\Paciente.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 263, 0, 0, 8, 7, 278
"d:\NEIL\SistemaHistoriasClinicas\front_sistemahc\vite.config.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 1, 2, 30
"d:\NEIL\SistemaHistoriasClinicas\package-lock.json", "JSON", 0, 0, 6026, 0, 0, 0, 0, 0, 0, 1, 6027
"d:\NEIL\SistemaHistoriasClinicas\package.json", "JSON", 0, 0, 42, 0, 0, 0, 0, 0, 0, 1, 43
"d:\NEIL\SistemaHistoriasClinicas\server\auth\index.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 2, 3, 10
"d:\NEIL\SistemaHistoriasClinicas\server\auth\strategies\jwt.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 1, 5, 16
